Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Vitória;Santa Efigênia;1;0;Apartamento;R$ 1.390;1444;Rua Vitória, São Paulo, Brasil;43;Santa Efigênia, Rua Vitória;Santa Efigênia, Rua Vitória, São Paulo, Brasil
Praça Ministro Costa Manso;Sé;1;0;Apartamento;R$ 1.380;1771;Praça Ministro Costa Manso, São Paulo, Brasil;32;Sé, Praça Ministro Costa Manso;Sé, Praça Ministro Costa Manso, São Paulo, Brasil
Rua Artur Bernardes;Vila Invernada;1;0;Apartamento;R$ 1.380;1643;Rua Artur Bernardes, São Paulo, Brasil;35;Vila Invernada, Rua Artur Bernardes;Vila Invernada, Rua Artur Bernardes, São Paulo, Brasil
Rua Álvaro de Carvalho;Centro;1;0;Apartamento;R$ 1.365;2093;Rua Álvaro de Carvalho, São Paulo, Brasil;46;Centro, Rua Álvaro de Carvalho;Centro, Rua Álvaro de Carvalho, São Paulo, Brasil
Rua Arapaçu;Vila Formosa;1;0;Apartamento;R$ 1.360;1747;Rua Arapaçu, São Paulo, Brasil;31;Vila Formosa, Rua Arapaçu;Vila Formosa, Rua Arapaçu, São Paulo, Brasil
Rua Riachuelo;Sé;1;0;Apartamento;R$ 1.360;1665;Rua Riachuelo, São Paulo, Brasil;52;Sé, Rua Riachuelo;Sé, Rua Riachuelo, São Paulo, Brasil
Avenida Dedo de Deus;Vila Formosa;1;0;Apartamento;R$ 1.360;1593;Avenida Dedo de Deus, São Paulo, Brasil;33;Vila Formosa, Avenida Dedo de Deus;Vila Formosa, Avenida Dedo de Deus, São Paulo, Brasil
Rua Luís Pacheco;Luz;1;0;Apartamento;R$ 1.360;1513;Rua Luís Pacheco, São Paulo, Brasil;37;Luz, Rua Luís Pacheco;Luz, Rua Luís Pacheco, São Paulo, Brasil
Rua Caetano Pinto;Brás;1;0;Apartamento;R$ 1.354;1773;Rua Caetano Pinto, São Paulo, Brasil;37;Brás , Rua Caetano Pinto;Brás , Rua Caetano Pinto, São Paulo, Brasil
Rua Promotor Gabriel Netuzzi Perez;Santo Amaro;1;0;Apartamento;R$ 1.350;1873;Rua Promotor Gabriel Netuzzi Perez, São Paulo, Brasil;55;Santo Amaro, Rua Promotor Gabriel Netuzzi Perez;Santo Amaro, Rua Promotor Gabriel Netuzzi Perez, São Paulo, Brasil
Rua General Feliciano Falcão;Vila Prudente;1;0;Apartamento;R$ 1.350;1852;Rua General Feliciano Falcão, São Paulo, Brasil;62;Vila Prudente, Rua General Feliciano Falcão;Vila Prudente, Rua General Feliciano Falcão, São Paulo, Brasil
Rua Manuel Leiroz;Vila Penteado;1;0;Apartamento;R$ 1.350;1702;Rua Manuel Leiroz, São Paulo, Brasil;38;Vila Penteado, Rua Manuel Leiroz;Vila Penteado, Rua Manuel Leiroz, São Paulo, Brasil
Rua do Lavapés;Cambuci;1;0;Apartamento;R$ 1.350;1616;Rua do Lavapés, São Paulo, Brasil;26;Cambuci, Rua do Lavapés;Cambuci, Rua do Lavapés, São Paulo, Brasil
Rua Urbano da Silva;Vila Jaguara;1;0;Apartamento;R$ 1.350;1610;Rua Urbano da Silva, São Paulo, Brasil;39;Vila Jaguara, Rua Urbano da Silva;Vila Jaguara, Rua Urbano da Silva, São Paulo, Brasil
Rua Hermes de Moura Borges;Artur Alvim;1;0;Apartamento;R$ 1.350;1554;Rua Hermes de Moura Borges, São Paulo, Brasil;31;Artur Alvim, Rua Hermes de Moura Borges;Artur Alvim, Rua Hermes de Moura Borges, São Paulo, Brasil
Rua Andaçu;Vila Paiva;1;0;Apartamento;R$ 1.350;1527;Rua Andaçu, São Paulo, Brasil;46;Vila Paiva, Rua Andaçu;Vila Paiva, Rua Andaçu, São Paulo, Brasil
Rua Ascenso Dias Leme;Imirim;1;0;Apartamento;R$ 1.350;1490;Rua Ascenso Dias Leme, São Paulo, Brasil;44;Imirim, Rua Ascenso Dias Leme;Imirim, Rua Ascenso Dias Leme, São Paulo, Brasil
Rua Orfanato;Vila Prudente;1;0;Apartamento;R$ 1.350;1436;Rua Orfanato, São Paulo, Brasil;42;Vila Prudente, Rua Orfanato;Vila Prudente, Rua Orfanato, São Paulo, Brasil
Rua Chagu;Vila Formosa;1;0;Apartamento;R$ 1.346;1668;Rua Chagu, São Paulo, Brasil;35;Vila Formosa, Rua Chagu;Vila Formosa, Rua Chagu, São Paulo, Brasil
Rua José Bento;Cambuci;1;0;Apartamento;R$ 1.340;1786;Rua José Bento, São Paulo, Brasil;33;Cambuci, Rua José Bento;Cambuci, Rua José Bento, São Paulo, Brasil
Rua José Bento;Cambuci;1;0;Apartamento;R$ 1.340;1786;Rua José Bento, São Paulo, Brasil;34;Cambuci, Rua José Bento;Cambuci, Rua José Bento, São Paulo, Brasil
Praça Alberto Lion;Cambuci;1;0;Apartamento;R$ 1.333;1704;Praça Alberto Lion, São Paulo, Brasil;29;Cambuci, Praça Alberto Lion;Cambuci, Praça Alberto Lion, São Paulo, Brasil
Rua Vicente Pereira de Assunção;Vila Constança;1;0;Apartamento;R$ 1.330;1451;Rua Vicente Pereira de Assunção, São Paulo, Brasil;50;Vila Constança, Rua Vicente Pereira de Assunção;Vila Constança, Rua Vicente Pereira de Assunção, São Paulo, Brasil
Avenida Ipiranga;República;1;0;Apartamento;R$ 1.325;1771;Avenida Ipiranga, São Paulo, Brasil;23;República, Avenida Ipiranga;República, Avenida Ipiranga, São Paulo, Brasil
Rua Maria Carlota;Vila Esperança;1;0;Apartamento;R$ 1.325;1626;Rua Maria Carlota, São Paulo, Brasil;45;Vila Esperança, Rua Maria Carlota;Vila Esperança, Rua Maria Carlota, São Paulo, Brasil
Rua Conselheiro Furtado;Liberdade;1;0;Apartamento;R$ 1.324;2182;Rua Conselheiro Furtado, São Paulo, Brasil;53;Liberdade, Rua Conselheiro Furtado;Liberdade, Rua Conselheiro Furtado, São Paulo, Brasil
Rua General Jardim;Vila Buarque;1;0;Apartamento;R$ 1.320;2361;Rua General Jardim, São Paulo, Brasil;37;Vila Buarque, Rua General Jardim;Vila Buarque, Rua General Jardim, São Paulo, Brasil
Rua Borges Lagoa;Vila Clementino;1;0;Apartamento;R$ 1.320;2217;Rua Borges Lagoa, São Paulo, Brasil;25;Vila Clementino, Rua Borges Lagoa;Vila Clementino, Rua Borges Lagoa, São Paulo, Brasil
Rua Doutor Cesário Mota Júnior;Vila Buarque;1;0;Apartamento;R$ 1.320;1805;Rua Doutor Cesário Mota Júnior, São Paulo, Brasil;35;Vila Buarque, Rua Doutor Cesário Mota Júnior;Vila Buarque, Rua Doutor Cesário Mota Júnior, São Paulo, Brasil
Avenida Ricardo Medina Filho;Vila Ipojuca;1;0;Apartamento;R$ 1.320;1388;Avenida Ricardo Medina Filho, São Paulo, Brasil;16;Vila Ipojuca, Avenida Ricardo Medina Filho;Vila Ipojuca, Avenida Ricardo Medina Filho, São Paulo, Brasil
Rua Doutora Neyde Apparecida Sollitto;Vila Clementino;1;0;Apartamento;R$ 1.320;1371;Rua Doutora Neyde Apparecida Sollitto, São Paulo, Brasil;35;Vila Clementino, Rua Doutora Neyde Apparecida Sollitto;Vila Clementino, Rua Doutora Neyde Apparecida Sollitto, São Paulo, Brasil
Rua Alaor Bronzone;Jardim Casablanca;1;0;Apartamento;R$ 1.310;1360;Rua Alaor Bronzone, São Paulo, Brasil;43;Jardim Casablanca, Rua Alaor Bronzone;Jardim Casablanca, Rua Alaor Bronzone, São Paulo, Brasil
Rua Ana Cintra;Campos Elíseos;1;0;Apartamento;R$ 1.300;2003;Rua Ana Cintra, São Paulo, Brasil;50;Campos Elíseos, Rua Ana Cintra;Campos Elíseos, Rua Ana Cintra, São Paulo, Brasil
Alameda Ribeiro da Silva;Campos Elíseos;1;0;Apartamento;R$ 1.300;1864;Alameda Ribeiro da Silva, São Paulo, Brasil;47;Campos Elíseos, Alameda Ribeiro da Silva;Campos Elíseos, Alameda Ribeiro da Silva, São Paulo, Brasil
Avenida Rio Branco;Campos Elíseos;1;0;Apartamento;R$ 1.300;1800;Avenida Rio Branco, São Paulo, Brasil;32;Campos Elíseos, Avenida Rio Branco;Campos Elíseos, Avenida Rio Branco, São Paulo, Brasil
Avenida Rudge;Bom Retiro;1;0;Apartamento;R$ 1.300;1750;Avenida Rudge, São Paulo, Brasil;31;Bom Retiro, Avenida Rudge;Bom Retiro, Avenida Rudge, São Paulo, Brasil
Avenida Prestes Maia;Centro;1;0;Apartamento;R$ 1.300;1736;Avenida Prestes Maia, São Paulo, Brasil;52;Centro, Avenida Prestes Maia;Centro, Avenida Prestes Maia, São Paulo, Brasil
Rua Conde de Sarzedas;Liberdade;1;0;Apartamento;R$ 1.300;1713;Rua Conde de Sarzedas, São Paulo, Brasil;59;Liberdade, Rua Conde de Sarzedas;Liberdade, Rua Conde de Sarzedas, São Paulo, Brasil
Rua Brigadeiro Tobias;Centro;1;0;Apartamento;R$ 1.300;1697;Rua Brigadeiro Tobias, São Paulo, Brasil;32;Centro, Rua Brigadeiro Tobias;Centro, Rua Brigadeiro Tobias, São Paulo, Brasil
Avenida São João;Centro Histórico De São Paulo;1;0;Apartamento;R$ 1.300;1670;Avenida São João, São Paulo, Brasil;54;Centro Histórico De São Paulo, Avenida São João;Centro Histórico De São Paulo, Avenida São João, São Paulo, Brasil
Avenida Vila Ema;Vila Ema;1;0;Apartamento;R$ 1.300;1640;Avenida Vila Ema, São Paulo, Brasil;32;Vila Ema, Avenida Vila Ema;Vila Ema, Avenida Vila Ema, São Paulo, Brasil
Rua General Osório;Santa Efigênia;1;0;Apartamento;R$ 1.300;1630;Rua General Osório, São Paulo, Brasil;42;Santa Efigênia, Rua General Osório;Santa Efigênia, Rua General Osório, São Paulo, Brasil
Rua Glória do Goitá;Vila Independencia;1;0;Apartamento;R$ 1.300;1620;Rua Glória do Goitá, São Paulo, Brasil;25;Vila Independencia, Rua Glória do Goitá;Vila Independencia, Rua Glória do Goitá, São Paulo, Brasil
Rua Dom Francisco de Sousa;Centro;1;0;Apartamento;R$ 1.300;1620;Rua Dom Francisco de Sousa, São Paulo, Brasil;52;Centro, Rua Dom Francisco de Sousa;Centro, Rua Dom Francisco de Sousa, São Paulo, Brasil
Avenida Rio Branco;Campos Elíseos;1;0;Apartamento;R$ 1.300;1580;Avenida Rio Branco, São Paulo, Brasil;35;Campos Elíseos, Avenida Rio Branco;Campos Elíseos, Avenida Rio Branco, São Paulo, Brasil
Rua Barra Mansa;Jardim Franca;1;0;Apartamento;R$ 1.300;1552;Rua Barra Mansa, São Paulo, Brasil;38;Jardim Franca, Rua Barra Mansa;Jardim Franca, Rua Barra Mansa, São Paulo, Brasil
Avenida Bosque da Saúde;Vila Da Saúde;1;0;Apartamento;R$ 1.300;1520;Avenida Bosque da Saúde, São Paulo, Brasil;19;Vila Da Saúde, Avenida Bosque da Saúde;Vila Da Saúde, Avenida Bosque da Saúde, São Paulo, Brasil
Rua Benjamin Pereira;Parque Vitoria;1;0;Apartamento;R$ 1.300;1520;Rua Benjamin Pereira, São Paulo, Brasil;25;Parque Vitoria, Rua Benjamin Pereira;Parque Vitoria, Rua Benjamin Pereira, São Paulo, Brasil
Travessa Manuela;Vila Granada;1;0;Apartamento;R$ 1.300;1470;Travessa Manuela, São Paulo, Brasil;70;Vila Granada, Travessa Manuela;Vila Granada, Travessa Manuela, São Paulo, Brasil
Rua Frei Francisco;Jardim Helena;1;0;Apartamento;R$ 1.300;1425;Rua Frei Francisco, São Paulo, Brasil;37;Jardim Helena, Rua Frei Francisco;Jardim Helena, Rua Frei Francisco, São Paulo, Brasil
Rua Padre Isidoro;Vila Nova York;1;0;Apartamento;R$ 1.300;1363;Rua Padre Isidoro, São Paulo, Brasil;35;Vila Nova York, Rua Padre Isidoro;Vila Nova York, Rua Padre Isidoro, São Paulo, Brasil
Rua Francisco Diogo;Parque Peruche;1;0;Apartamento;R$ 1.300;1350;Rua Francisco Diogo, São Paulo, Brasil;28;Parque Peruche, Rua Francisco Diogo;Parque Peruche, Rua Francisco Diogo, São Paulo, Brasil
Avenida São João;República;1;0;Apartamento;R$ 1.300;1350;Avenida São João, São Paulo, Brasil;31;República, Avenida São João;República, Avenida São João, São Paulo, Brasil
Rua Assuero Roque;Vila Roque;1;0;Apartamento;R$ 1.300;1344;Rua Assuero Roque, São Paulo, Brasil;35;Vila Roque, Rua Assuero Roque;Vila Roque, Rua Assuero Roque, São Paulo, Brasil
Avenida Alcântara Machado;Brás;1;0;Apartamento;R$ 1.287;1337;Avenida Alcântara Machado, São Paulo, Brasil;32;Brás, Avenida Alcântara Machado;Brás, Avenida Alcântara Machado, São Paulo, Brasil
Rua Belo Horizonte;Jardim Brasília (Zona Norte);1;0;Apartamento;R$ 1.286;1362;Rua Belo Horizonte, São Paulo, Brasil;46;Jardim Brasília (Zona Norte), Rua Belo Horizonte;Jardim Brasília (Zona Norte), Rua Belo Horizonte, São Paulo, Brasil
Rua Oscar Cintra Gordinho;Liberdade;1;0;Apartamento;R$ 1.281;1331;Rua Oscar Cintra Gordinho, São Paulo, Brasil;35;Liberdade, Rua Oscar Cintra Gordinho;Liberdade, Rua Oscar Cintra Gordinho, São Paulo, Brasil
Rua Silva Bueno;Ipiranga;1;0;Apartamento;R$ 1.280;1865;Rua Silva Bueno, São Paulo, Brasil;60;Ipiranga, Rua Silva Bueno;Ipiranga, Rua Silva Bueno, São Paulo, Brasil
Rua Campêlo;Vila Nova Mazzei;1;0;Apartamento;R$ 1.280;1537;Rua Campêlo, São Paulo, Brasil;38;Vila Nova Mazzei, Rua Campêlo;Vila Nova Mazzei, Rua Campêlo, São Paulo, Brasil
Rua Anhumas;Vila Santa Virginia;1;0;Apartamento;R$ 1.280;1409;Rua Anhumas, São Paulo, Brasil;35;Vila Santa Virginia, Rua Anhumas;Vila Santa Virginia, Rua Anhumas, São Paulo, Brasil
Rua Eugênio Pradez;Jardim Piracuama;1;0;Apartamento;R$ 1.280;1370;Rua Eugênio Pradez, São Paulo, Brasil;45;Jardim Piracuama, Rua Eugênio Pradez;Jardim Piracuama, Rua Eugênio Pradez, São Paulo, Brasil
Rua Doutor Falcão Filho;Centro;1;0;Apartamento;R$ 1.275;1825;Rua Doutor Falcão Filho, São Paulo, Brasil;36;Centro, Rua Doutor Falcão Filho;Centro, Rua Doutor Falcão Filho, São Paulo, Brasil
Rua Vitória;Santa Efigênia;1;0;Apartamento;R$ 1.275;1738;Rua Vitória, São Paulo, Brasil;42;Santa Efigênia, Rua Vitória;Santa Efigênia, Rua Vitória, São Paulo, Brasil
Avenida Rangel Pestana;Brás;1;0;Apartamento;R$ 1.275;1689;Avenida Rangel Pestana, São Paulo, Brasil;31;Brás, Avenida Rangel Pestana;Brás, Avenida Rangel Pestana, São Paulo, Brasil
Avenida Rangel Pestana;Brás;1;0;Apartamento;R$ 1.275;1687;Avenida Rangel Pestana, São Paulo, Brasil;33;Brás, Avenida Rangel Pestana;Brás, Avenida Rangel Pestana, São Paulo, Brasil
Rua Iguará;Vila Alpina;1;0;Apartamento;R$ 1.275;1512;Rua Iguará, São Paulo, Brasil;34;Vila Alpina, Rua Iguará;Vila Alpina, Rua Iguará, São Paulo, Brasil
Rua Condeúba;Vila Santa Isabel;1;0;Apartamento;R$ 1.270;1756;Rua Condeúba, São Paulo, Brasil;35;Vila Santa Isabel, Rua Condeúba;Vila Santa Isabel, Rua Condeúba, São Paulo, Brasil
Rua Coronel Marcílio Franco;Vila Isolina Mazzei;1;0;Apartamento;R$ 1.270;1526;Rua Coronel Marcílio Franco, São Paulo, Brasil;45;Vila Isolina Mazzei, Rua Coronel Marcílio Franco;Vila Isolina Mazzei, Rua Coronel Marcílio Franco, São Paulo, Brasil
Rua Brigadeiro Tobias;Centro Histórico De São Paulo;1;0;Apartamento;R$ 1.269;1749;Rua Brigadeiro Tobias, São Paulo, Brasil;39;Centro Histórico De São Paulo, Rua Brigadeiro Tobias;Centro Histórico De São Paulo, Rua Brigadeiro Tobias, São Paulo, Brasil
Rua Sebastião de Andrade;Vila Matilde;1;0;Apartamento;R$ 1.256;1474;Rua Sebastião de Andrade, São Paulo, Brasil;50;Vila Matilde, Rua Sebastião de Andrade;Vila Matilde, Rua Sebastião de Andrade, São Paulo, Brasil
Avenida Cásper Líbero;Santa Ifigênia;1;0;Apartamento;R$ 1.250;1753;Avenida Cásper Líbero, São Paulo, Brasil;55;Santa Ifigênia, Avenida Cásper Líbero;Santa Ifigênia, Avenida Cásper Líbero, São Paulo, Brasil
Avenida Celso Garcia;Brás;1;0;Apartamento;R$ 1.250;1654;Avenida Celso Garcia, São Paulo, Brasil;50;Brás, Avenida Celso Garcia;Brás, Avenida Celso Garcia, São Paulo, Brasil
Rua Joaquim Nunes Teixeira;Vila Plana;1;0;Apartamento;R$ 1.250;1648;Rua Joaquim Nunes Teixeira, São Paulo, Brasil;44;Vila Plana, Rua Joaquim Nunes Teixeira;Vila Plana, Rua Joaquim Nunes Teixeira, São Paulo, Brasil
Rua Tamboril;Parada Inglesa;1;0;Apartamento;R$ 1.250;1616;Rua Tamboril, São Paulo, Brasil;38;Parada Inglesa, Rua Tamboril;Parada Inglesa, Rua Tamboril, São Paulo, Brasil
Rua Capitão-mor Passos;Catumbi;1;0;Apartamento;R$ 1.250;1565;Rua Capitão-mor Passos, São Paulo, Brasil;54;Catumbi, Rua Capitão-mor Passos;Catumbi, Rua Capitão-mor Passos, São Paulo, Brasil
Rua São Severiano;Vila Santana;1;0;Apartamento;R$ 1.250;1533;Rua São Severiano, São Paulo, Brasil;27;Vila Santana, Rua São Severiano;Vila Santana, Rua São Severiano, São Paulo, Brasil
Rua Maragojipe;Vila Antonina;1;0;Apartamento;R$ 1.250;1498;Rua Maragojipe, São Paulo, Brasil;42;Vila Antonina, Rua Maragojipe;Vila Antonina, Rua Maragojipe, São Paulo, Brasil
Rua Leôncio da Costa Vieira;Jardim Piqueroby;1;0;Apartamento;R$ 1.250;1428;Rua Leôncio da Costa Vieira, São Paulo, Brasil;37;Jardim Piqueroby, Rua Leôncio da Costa Vieira;Jardim Piqueroby, Rua Leôncio da Costa Vieira, São Paulo, Brasil
Rua Alferes Magalhães;Santana;1;0;Apartamento;R$ 1.250;1395;Rua Alferes Magalhães, São Paulo, Brasil;38;Santana, Rua Alferes Magalhães;Santana, Rua Alferes Magalhães, São Paulo, Brasil
Rua Ibéria;Vila Isolina Mazzei;1;0;Apartamento;R$ 1.250;1388;Rua Ibéria, São Paulo, Brasil;38;Vila Isolina Mazzei, Rua Ibéria;Vila Isolina Mazzei, Rua Ibéria, São Paulo, Brasil
Rua Mariquinha Viana;Mandaqui;1;0;Apartamento;R$ 1.250;1378;Rua Mariquinha Viana, São Paulo, Brasil;34;Mandaqui, Rua Mariquinha Viana;Mandaqui, Rua Mariquinha Viana, São Paulo, Brasil
Rua Antônio Vivaldi;Jardim Guanca;1;0;Apartamento;R$ 1.250;1341;Rua Antônio Vivaldi, São Paulo, Brasil;50;Jardim Guanca, Rua Antônio Vivaldi;Jardim Guanca, Rua Antônio Vivaldi, São Paulo, Brasil
Rua Oásis;Jardim Oriental;1;0;Apartamento;R$ 1.250;1332;Rua Oásis, São Paulo, Brasil;35;Jardim Oriental, Rua Oásis;Jardim Oriental, Rua Oásis, São Paulo, Brasil
Avenida Cásper Líbero;Centro;1;0;Apartamento;R$ 1.236;1822;Avenida Cásper Líbero, São Paulo, Brasil;52;Centro, Avenida Cásper Líbero;Centro, Avenida Cásper Líbero, São Paulo, Brasil
Rua do Arouche;República;1;0;Apartamento;R$ 1.236;1559;Rua do Arouche, São Paulo, Brasil;54;República, Rua do Arouche;República, Rua do Arouche, São Paulo, Brasil
Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte);1;0;Apartamento;R$ 1.230;1687;Avenida Leôncio de Magalhães, São Paulo, Brasil;60;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães, São Paulo, Brasil
Avenida Vila Ema;Vila Ema;1;0;Apartamento;R$ 1.230;1647;Avenida Vila Ema, São Paulo, Brasil;23;Vila Ema, Avenida Vila Ema;Vila Ema, Avenida Vila Ema, São Paulo, Brasil
Rua Conde Sarzedas;Sé;1;0;Apartamento;R$ 1.212;1758;Rua Conde Sarzedas, São Paulo, Brasil;47;Sé, Rua Conde Sarzedas;Sé, Rua Conde Sarzedas, São Paulo, Brasil
Rua Brigadeiro Tobias;Centro;1;0;Apartamento;R$ 1.202;1549;Rua Brigadeiro Tobias, São Paulo, Brasil;50;Centro, Rua Brigadeiro Tobias;Centro, Rua Brigadeiro Tobias, São Paulo, Brasil
Rua Castro Alves;Aclimação;1;0;Apartamento;R$ 1.200;1890;Rua Castro Alves, São Paulo, Brasil;41;Aclimação, Rua Castro Alves;Aclimação, Rua Castro Alves, São Paulo, Brasil
Rua Vereador Pedro Brasil Bandecchi;Vila Amélia;1;0;Apartamento;R$ 1.200;1797;Rua Vereador Pedro Brasil Bandecchi, São Paulo, Brasil;62;Vila Amélia, Rua Vereador Pedro Brasil Bandecchi;Vila Amélia, Rua Vereador Pedro Brasil Bandecchi, São Paulo, Brasil
Avenida São João;República;1;0;Apartamento;R$ 1.200;1795;Avenida São João, São Paulo, Brasil;56;República, Avenida São João;República, Avenida São João, São Paulo, Brasil
Rua Barão de Tatuí;Vila Buarque;1;0;Apartamento;R$ 1.200;1794;Rua Barão de Tatuí, São Paulo, Brasil;46;Vila Buarque, Rua Barão de Tatuí;Vila Buarque, Rua Barão de Tatuí, São Paulo, Brasil
Rua Mauá;Centro;1;0;Apartamento;R$ 1.200;1716;Rua Mauá, São Paulo, Brasil;59;Centro, Rua Mauá;Centro, Rua Mauá, São Paulo, Brasil
Avenida Rangel Pestana;Brás;1;0;Apartamento;R$ 1.200;1674;Avenida Rangel Pestana, São Paulo, Brasil;45;Brás, Avenida Rangel Pestana;Brás, Avenida Rangel Pestana, São Paulo, Brasil
Rua Rangel Pestana;Sé;1;0;Apartamento;R$ 1.200;1659;Rua Rangel Pestana, São Paulo, Brasil;62;Sé, Rua Rangel Pestana;Sé, Rua Rangel Pestana, São Paulo, Brasil
Rua Glicério;Liberdade;1;0;Apartamento;R$ 1.200;1657;Rua Glicério, São Paulo, Brasil;45;Liberdade, Rua Glicério;Liberdade, Rua Glicério, São Paulo, Brasil
Alameda Nothmann;Campos Elíseos;1;0;Apartamento;R$ 1.200;1641;Alameda Nothmann, São Paulo, Brasil;37;Campos Elíseos, Alameda Nothmann;Campos Elíseos, Alameda Nothmann, São Paulo, Brasil
Viaduto Nove de Julho;Centro Histórico De São Paulo;1;0;Apartamento;R$ 1.200;1640;Viaduto Nove de Julho, São Paulo, Brasil;45;Centro Histórico De São Paulo, Viaduto Nove de Julho;Centro Histórico De São Paulo, Viaduto Nove de Julho, São Paulo, Brasil
Rua Vilar de Figos;Vila Nova Das Belezas;1;0;Apartamento;R$ 1.200;1637;Rua Vilar de Figos, São Paulo, Brasil;24;Vila Nova Das Belezas, Rua Vilar de Figos;Vila Nova Das Belezas, Rua Vilar de Figos, São Paulo, Brasil
Viaduto Dona Paulina;Centro Histórico De São Paulo;1;0;Apartamento;R$ 1.200;1637;Viaduto Dona Paulina, São Paulo, Brasil;45;Centro Histórico De São Paulo, Viaduto Dona Paulina;Centro Histórico De São Paulo, Viaduto Dona Paulina, São Paulo, Brasil
Rua Conde de Sarzedas;Sé;1;0;Apartamento;R$ 1.200;1614;Rua Conde de Sarzedas, São Paulo, Brasil;47;Sé, Rua Conde de Sarzedas;Sé, Rua Conde de Sarzedas, São Paulo, Brasil
Praça Doutor Mário Margarido;Liberdade;1;0;Apartamento;R$ 1.200;1577;Praça Doutor Mário Margarido, São Paulo, Brasil;35;Liberdade, Praça Doutor Mário Margarido;Liberdade, Praça Doutor Mário Margarido, São Paulo, Brasil
Rua Antônio de Godói;Centro;1;0;Apartamento;R$ 1.200;1560;Rua Antônio de Godói, São Paulo, Brasil;50;Centro, Rua Antônio de Godói;Centro, Rua Antônio de Godói, São Paulo, Brasil
Rua Natividade Saldanha;São Lucas;1;0;Apartamento;R$ 1.200;1541;Rua Natividade Saldanha, São Paulo, Brasil;33;São Lucas, Rua Natividade Saldanha;São Lucas, Rua Natividade Saldanha, São Paulo, Brasil
Avenida Rio Branco;Campos Elíseos;1;0;Apartamento;R$ 1.200;1509;Avenida Rio Branco, São Paulo, Brasil;34;Campos Elíseos, Avenida Rio Branco;Campos Elíseos, Avenida Rio Branco, São Paulo, Brasil
Rua Guaperuvu;Vila Aricanduva;1;0;Apartamento;R$ 1.200;1501;Rua Guaperuvu, São Paulo, Brasil;36;Vila Aricanduva, Rua Guaperuvu;Vila Aricanduva, Rua Guaperuvu, São Paulo, Brasil
Rua Adolfo Schnabel;Vila Ema;1;0;Apartamento;R$ 1.200;1488;Rua Adolfo Schnabel, São Paulo, Brasil;26;Vila Ema, Rua Adolfo Schnabel;Vila Ema, Rua Adolfo Schnabel, São Paulo, Brasil
Rua Padre Isidoro;Vila Nova York;1;0;Apartamento;R$ 1.200;1467;Rua Padre Isidoro, São Paulo, Brasil;38;Vila Nova York, Rua Padre Isidoro;Vila Nova York, Rua Padre Isidoro, São Paulo, Brasil
Rua Benjamin Pereira;Jaçanã;1;0;Apartamento;R$ 1.200;1431;Rua Benjamin Pereira, São Paulo, Brasil;25;Jaçanã, Rua Benjamin Pereira;Jaçanã, Rua Benjamin Pereira, São Paulo, Brasil
Avenida Norberto Mayer;Vila Carrão;1;0;Apartamento;R$ 1.200;1405;Avenida Norberto Mayer, São Paulo, Brasil;60;Vila Carrão, Avenida Norberto Mayer;Vila Carrão, Avenida Norberto Mayer, São Paulo, Brasil
Avenida Marcondes de Brito;Chácara Seis De Outubro;1;0;Apartamento;R$ 1.200;1397;Avenida Marcondes de Brito, São Paulo, Brasil;38;Chácara Seis De Outubro, Avenida Marcondes de Brito;Chácara Seis De Outubro, Avenida Marcondes de Brito, São Paulo, Brasil
Rua Albino Boldasso Gabril;Vila Cruzeiro;1;0;Apartamento;R$ 1.200;1391;Rua Albino Boldasso Gabril, São Paulo, Brasil;44;Vila Cruzeiro, Rua Albino Boldasso Gabril;Vila Cruzeiro, Rua Albino Boldasso Gabril, São Paulo, Brasil
Avenida Patente;Jardim Patente;1;0;Apartamento;R$ 1.200;1386;Avenida Patente, São Paulo, Brasil;50;Jardim Patente, Avenida Patente;Jardim Patente, Avenida Patente, São Paulo, Brasil
Rua Major Dantas Cortes;Vila Gustavo;1;0;Apartamento;R$ 1.200;1297;Rua Major Dantas Cortes, São Paulo, Brasil;35;Vila Gustavo, Rua Major Dantas Cortes;Vila Gustavo, Rua Major Dantas Cortes, São Paulo, Brasil
Rua Nancy Silva Cabral;Parque Continental Ii;1;0;Apartamento;R$ 1.200;1287;Rua Nancy Silva Cabral, São Paulo, Brasil;55;Parque Continental Ii, Rua Nancy Silva Cabral;Parque Continental Ii, Rua Nancy Silva Cabral, São Paulo, Brasil
Rua Luiz Gastão;Parque São Lucas;1;0;Apartamento;R$ 1.200;1248;Rua Luiz Gastão, São Paulo, Brasil;45;Parque São Lucas, Rua Luiz Gastão;Parque São Lucas, Rua Luiz Gastão, São Paulo, Brasil
Travessa Carlos Domingos de Oliveira;Vila Pouso Alegre;1;0;Apartamento;R$ 1.200;1216;Travessa Carlos Domingos de Oliveira, São Paulo, Brasil;39;Vila Pouso Alegre, Travessa Carlos Domingos de Oliveira;Vila Pouso Alegre, Travessa Carlos Domingos de Oliveira, São Paulo, Brasil
