Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Doutor Paulo Ribeiro Coelho;Jardim Ester Yolanda;3;2;Casa;R$ 3.400;3728;Rua Doutor Paulo Ribeiro Coelho, São Paulo, Brasil;218;Jardim Ester Yolanda, Rua Doutor Paulo Ribeiro Coelho;Jardim Ester Yolanda, Rua Doutor Paulo Ribeiro Coelho, São Paulo, Brasil
Rua Pedro Aleixo;Vila Francisco Matarazzo;3;2;Casa;R$ 3.400;3545;Rua Pedro Aleixo, São Paulo, Brasil;120;Vila Francisco Matarazzo, Rua Pedro Aleixo;Vila Francisco Matarazzo, Rua Pedro Aleixo, São Paulo, Brasil
Rua Olga Marinovic Doro;Vila Talarico;3;2;Casa;R$ 3.400;3488;Rua Olga Marinovic Doro, São Paulo, Brasil;99;Vila Talarico, Rua Olga Marinovic Doro;Vila Talarico, Rua Olga Marinovic Doro, São Paulo, Brasil
Rua Guararapes;Brooklin Paulista;3;2;Casa;R$ 3.397;3895;Rua Guararapes, São Paulo, Brasil;120;Brooklin Paulista, Rua Guararapes;Brooklin Paulista, Rua Guararapes, São Paulo, Brasil
Rua Alessandro Manzoni;Campo Grande;3;2;Casa;R$ 3.360;3545;Rua Alessandro Manzoni, São Paulo, Brasil;300;Campo Grande, Rua Alessandro Manzoni;Campo Grande, Rua Alessandro Manzoni, São Paulo, Brasil
Rua Marino Navarro;Jardim Patente Novo;3;2;Casa;R$ 3.360;3503;Rua Marino Navarro, São Paulo, Brasil;115;Jardim Patente Novo, Rua Marino Navarro;Jardim Patente Novo, Rua Marino Navarro, São Paulo, Brasil
Rua Morro Alto;Vila Santa Maria;3;2;Casa;R$ 3.350;3562;Rua Morro Alto, São Paulo, Brasil;150;Vila Santa Maria, Rua Morro Alto;Vila Santa Maria, Rua Morro Alto, São Paulo, Brasil
Rua Soares de Faria;Jabaquara;3;2;Casa;R$ 3.330;3828;Rua Soares de Faria, São Paulo, Brasil;202;Jabaquara, Rua Soares de Faria;Jabaquara, Rua Soares de Faria, São Paulo, Brasil
Rua Antônio La Giudice;Jardim Aricanduva;3;2;Casa;R$ 3.300;3681;Rua Antônio La Giudice, São Paulo, Brasil;125;Jardim Aricanduva, Rua Antônio La Giudice;Jardim Aricanduva, Rua Antônio La Giudice, São Paulo, Brasil
Rua João da Rocha;Jardim Consorcio;3;2;Casa;R$ 3.300;3652;Rua João da Rocha, São Paulo, Brasil;196;Jardim Consorcio, Rua João da Rocha;Jardim Consorcio, Rua João da Rocha, São Paulo, Brasil
Rua Georgina de Albuquerque;Parque Jabaquara;3;2;Casa;R$ 3.300;3630;Rua Georgina de Albuquerque, São Paulo, Brasil;125;Parque Jabaquara, Rua Georgina de Albuquerque;Parque Jabaquara, Rua Georgina de Albuquerque, São Paulo, Brasil
Rua Francisco Barbosa Lima;Jardim Ernestina;3;2;Casa;R$ 3.300;3536;Rua Francisco Barbosa Lima, São Paulo, Brasil;230;Jardim Ernestina, Rua Francisco Barbosa Lima;Jardim Ernestina, Rua Francisco Barbosa Lima, São Paulo, Brasil
Rua Quixere;Vila Mazzei;3;2;Casa;R$ 3.300;3519;Rua Quixere, São Paulo, Brasil;120;Vila Mazzei, Rua Quixere;Vila Mazzei, Rua Quixere, São Paulo, Brasil
Rua Marialva;Cidade Patriarca;3;2;Casa;R$ 3.300;3502;Rua Marialva, São Paulo, Brasil;95;Cidade Patriarca, Rua Marialva;Cidade Patriarca, Rua Marialva, São Paulo, Brasil
Rua Dário da Silva;Vila Sao Paulo;3;2;Casa;R$ 3.290;3430;Rua Dário da Silva, São Paulo, Brasil;163;Vila Sao Paulo, Rua Dário da Silva;Vila Sao Paulo, Rua Dário da Silva, São Paulo, Brasil
Avenida Interlagos;Interlagos;3;2;Casa;R$ 3.280;3626;Avenida Interlagos, São Paulo, Brasil;150;Interlagos, Avenida Interlagos;Interlagos, Avenida Interlagos, São Paulo, Brasil
Rua das Paineiras;Jardim Dos Lagos;3;2;Casa;R$ 3.280;3542;Rua das Paineiras, São Paulo, Brasil;147;Jardim Dos Lagos, Rua das Paineiras;Jardim Dos Lagos, Rua das Paineiras, São Paulo, Brasil
Rua General Canavarro;Campestre;3;2;Casa;R$ 3.270;3493;Rua General Canavarro, São Paulo, Brasil;180;Campestre, Rua General Canavarro;Campestre, Rua General Canavarro, São Paulo, Brasil
Rua Ordenações Filipinas;Vila Morse;3;2;Casa;R$ 3.264;3676;Rua Ordenações Filipinas, São Paulo, Brasil;119;Vila Morse, Rua Ordenações Filipinas;Vila Morse, Rua Ordenações Filipinas, São Paulo, Brasil
Rua Ministro Barros Pimentel;Parque Maria Luiza;3;2;Casa;R$ 3.255;3528;Rua Ministro Barros Pimentel, São Paulo, Brasil;110;Parque Maria Luiza, Rua Ministro Barros Pimentel;Parque Maria Luiza, Rua Ministro Barros Pimentel, São Paulo, Brasil
Rua Dona Maria Custódia;Santa Teresinha;3;2;Casa;R$ 3.250;3661;Rua Dona Maria Custódia, São Paulo, Brasil;250;Santa Teresinha, Rua Dona Maria Custódia;Santa Teresinha, Rua Dona Maria Custódia, São Paulo, Brasil
Rua Vinte E Quatro de Outubro;Vila Dom Pedro I;3;2;Casa;R$ 3.250;3482;Rua Vinte E Quatro de Outubro, São Paulo, Brasil;122;Vila Dom Pedro I, Rua Vinte E Quatro de Outubro;Vila Dom Pedro I, Rua Vinte E Quatro de Outubro, São Paulo, Brasil
